message	in use	Calling Object	Specific Property	Action	Board Version	# Actuators	decimal_id	id	ASCII equiv	Applicable	Direction	Send byte length	Send payload	Reply msg length	Status Byte	Receiver reply payload	Remark
ADC_Read	1	ADC		read			99	63	c		1	3	(ADC#)	4	N	2 bytes (ADC val byte 1, ADC val byte 2)
AFM_Begin_Auto_Approach	1	AFM	auto approach	begin			154	9a		PCB3	1	4	Setpoint byte 1, Setpoint byte 2	2	N		MCU will start transmitting AFM_AUTOAPPR_STATUS
AFM_Calibrate	1	AFM		calibrate			111	6F	o		1	5	(‘l’/’r’/‘z’, max_voltage byte 1, max_voltage byte 2)	5	N	Vmax*4 bytes - [actuator_direct_adc_measurement byte 1, actuator_direct_adc_measurement byte 2, actuator_indirect_adc_measurement byte 1, actuator_indirect_adc_measurement byte 2]*4096 values (ADC measurements per DAC level)
AFM_Generate_Force_Curve	1	AFM	force curve	generate			78	4E	N		1	2	None	0
AFM_Get_Auto_Approach_Status	1	AFM	auto approach status	get			156	9c		PCB3	1	2	None	5	N	3 Bytes: (Current state; Current coase Z offset measurement byte 1; Current coase Z offset measurement byte 2)
AFM_PCBMOT_STAGE_DIR_FWD_SELECT	0						108	6C	l		1	2		3	Y	Stat Byte
AFM_PCBMOT_STAGE_DIR_REVERSE_SELECT	0						107	6B	k		1	2		3	Y	Stat Byte
AFM_Read_Signal_Phase_Offset	1	AFM	Signal Phase Offset	read			101	65	e		1	2		8	N	6 bytes (ADC Amplitude byte1, ADC Amplitude byte2, DAC Z Offset byte1, DAC Z Offset byte2, ADC PHASE byte1, ADC PHASE byte2)	read DAC8 and ADC5 and Phase
AFM_Set_Auto_Approach	0	AFM	auto approach	Set			118	76	v		1	6	(setpoint byte1, setpoint byte2, tolerance byte1, tolerance byte2)	3	Y	1 or 3 byte (‘o’, Zcoarse byte1, Zcoarse byte2) OR (‘f’)
AFM_Set_Dac_Table	1	AFM	DAC Table	set			83	53	S	4ACT	1	514	Send 16 messages of 256 bytes (256=PAGE_SIZE/2) in length to load the 4096*2byte 1D DAC Table grid array.	3	Y	Stat Byte
AFM_Set_Pga	0	AFM	PGA	set			42	2A	*		1	4	(channel_enum, attenuation value)	3	Y	Stat Byte
AFM_Set_Raster_Step	0	AFM	raster step	set			102	66	f		1	6	(val1 byte 1, val1 byte 2, val2 byte 1, val2 byte 2)	2	N	Nothing
AFM_Set_Scan_Parameters	1	AFM	scan parameters	set			64	40	@	2ACT	1	12	11 bytes (‘@’, vmin_line byte 1, vmin_line byte2, vmin_scan byte 1, vmin_scan byte 2, vmax byte 1, vmax byte 2, numpts byte 1, numpts byte 2, numlines byte 1, numlines byte 2)	3	Y	Stat Byte
AFM_Set_Signal_Generation	1	AFM	signal generation	set			80	50	P	4ACT	1	7	5 bytes (ratio enum byte, numpoints byte #1, numpoints byte #2, numlines byte#1, numlines byte#2)	2	N	Nothing
